Unidade de Saúde,GVE,Cidade,Endereço,Soro,Tipos de Soro,Telefone,latitude,longitude,24h
CS DE GUARANI DOESTE,GVE 30 JALES,GUARANI D'OSTE,"R. João Neves Pontes, 1315, Guarani d'Oeste - SP, 15680-000",0,,1738341179,-20.07335945401601,-50.337059204392354,0
PRONTO ATENDIMENTO DE GUARANTA,GVE 19 MARILIA,GUARANTA,"R. Beraldo Arruda, 352 - CENTRO, Guarantã - SP, 16570-000",0,,1435861175,-21.895295321186236,-49.59205888475083,1
SANTA CASA DE GUARARAPES,GVE 11 ARACATUBA,GUARARAPES,"AV. MARECHAL FLORIANO, 1.062",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(18) 3661-1794,-21.250857002440878,-50.649292704358764,1
SANTA CASA DE MISERICORDIA DE GUARAREMA,GVE 8 MOGI DAS CRUZES,GUARAREMA,"Praça Dr. Botelho Egas, 11 - Centro, Guararema - SP, 08900-000",0,,(11) 4693-8383,-23.41476368019996,-46.03652227545646,1
UPA III,GVE 33 TAUBATE,GUARATINGUETA,"R. RANGEL PESTANA, 195 – CENTRO",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(12) 2131-1900 - RAMAL 2030,-22.820944714827245,-45.1913250349979,1
PRONTO ATENDIMENTO ADALBERTO ROCHA GUAREI,GVE 31 SOROCABA,GUAREI,"R. Cap. Antonio Abio da Rocha, 417 - Perímetro Urbano, Guareí - SP, 18250-000",0,,1532589500,-23.370536096821574,-48.18057086408432,1
IRMANDADE DA SANTA CASA DE MISERICORDIA DE GUARIBA,GVE 24 RIBEIRAO PRETO,GUARIBA,"R. Nello Petrine, Petrini, 1740 - Jardim Boa Jardim, Guariba - SP, 14840-000",0,,(16) 3251-9100,-21.364629731701836,-48.226201804355455,1
HOSP. SANTO AMARO - GUARUJÁ,GVE 25 SANTOS,GUARUJA,R. QUINTO BERTOLDI Nº40 V. MAIA,1,"BOTRÓPICO, ARACNÍDICO E ESCORPIÔNICO.",(13) 3389-1515,-23.990765339006924,-46.25337828893028,1
HOSPITAL MUNICIPAL DA CRIANÇA E DO ADOLESCENTE DE GUARULHOS,GVE 8 MOGI DAS CRUZES,GUARULHOS,"RUA JOSÉ MAURÍCIO, 191 - CENTRO, GUARULHOS - SP, CEP 07011-060",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",(11) 2475-9688,-23.46677808132645,-46.53227046196247,1
HOSPITAL MUNICIPAL DE GUARULHOS,GVE 8 MOGI DAS CRUZES,GUARULHOS,"AV. TIRADENTES, 3392 - BOM CLIMA",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO, ESCORPIÔNICO E LONÔMICO.",(11) 2475-7449,-23.452300070648175,-46.51619650429104,1
PRONTO ATENDIMENTO CENTRAL,GVE 24 RIBEIRAO PRETO,GUATAPARA,"R. dos Jasmins, 333, Guatapará - SP, 14115-000",0,,1639732010,-21.49475728962237,-48.039203501507416,1
UBS CIRCA FERREIRA SOARES MATTOS,GVE 11 ARACATUBA,GUZOLANDIA,"R. Manoel Cândido da Silva, 1200, Guzolândia - SP, 15355-000",0,,1736371171,-20.648522286548378,-50.66207264671033,0
HOSPITAL SAO JOSE DE HERCULANDIA,GVE 19 MARILIA,HERCULANDIA,"R. Dom Pedro II, 162 - Herculândia, SP, 17650-000",0,,(14) 3486-1231,-22.005453230037997,-50.38746588899278,1
PSF CENTRAL IMIGRANTES,GVE 17 CAMPINAS,HOLAMBRA,"Rua Van Aken - Parque Res. Imigrantes, Holambra - SP, 13825-000",0,,1938027964,-22.614683223474586,-47.061926363840236,0
HOSPITAL E MATERNIDADE MUNICIPAL GOVERNADOR MARIO COVAS,GVE 17 CAMPINAS,HORTOLANDIA,"R. Osvaldo Ribeiro Carrilho, 10 - Jardim Mirante de Sumare, Hortolândia - SP, 13186-214",0,,(19) 3809-5100,-22.8850690673068,-47.19549743129406,1
IRMANDADE DA SANTA CASA DE MISERICORDIA DE IACANGA,GVE 15 BAURU,IACANGA,"Praça Antonio Garcia, 68 - Centro, Iacanga - SP, 17180-000",0,,(14) 3294-1110,-21.892391622317483,-49.023328204339734,1
PRONTO ATENDIMENTO DE IACRI,GVE 19 MARILIA,IACRI,"RUA BANDEIRANTES 1.341, CENTRO",1,ESCORPIÔNICO,(14) 3489-1294,-21.858365600011616,-50.68834425222177,1
UNIDADE BASICA DE SAUDE DE IARAS,GVE 16 BOTUCATU,IARAS,"R. Barão do Rio Branco, Iaras - SP, 18775-000",0,,1437641250,-22.87641218453979,-49.16151773129439,0
HOSPITAL MUNICIPAL IBATE,GVE 12 ARARAQUARA,IBATE,"R. Floriano Peixoto, 403 - Bairro São Benedito, Ibaté - SP, 14815-000",0,,(16) 3343-1191,-21.95650686832286,-47.99543463132274,1
SANTA CASA DE MISERICORDIA DE IBIRA,GVE 29 SAO JOSE DO RIO PRETO,IBIRA,"Av. José Bueno Cavalheiro, 600 - Centro, Ibirá - SP, 15860-000",0,,(17) 3551-1311,-21.08196646269604,-49.23803880436362,1
UBS - DR. MARCOS VINICIUS DO NASCIMENTO,GVE 13 ASSIS,IBIRAREMA,"R. José Pereira, 200 - Centro, Ibirarema - SP, 19940-000",0,,1433071472,-22.81634439863958,-50.06961232223701,1
SANTA CASA DE CARIDADE E MATERNIDADE,GVE 12 ARARAQUARA,IBITINGA,"R. DOMINGOS ROBERT, 1090",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(16) 3352-7711,-21.75228593379719,-48.82784113503065,1
HOSPITAL MUNICIPAL DE IBIUNA,GVE 31 SOROCABA,IBIUNA,"Av. Gabriel Monteiro da Silva, 888 - Jardim Áurea, Ibiúna - SP, 18150-000",0,,(15) 3248-9520,-23.649471017493266,-47.217583758254634,1
CS DE ICEM,GVE 29 SAO JOSE DO RIO PRETO,ICEM,"Av. Horácio Borges da Silveira, 475, Icém - SP, 15460-000",0,,1732829020,-20.343028591687435,-49.19928264856403,1
HOSPITAL MUNICIPAL,GVE 21 PRESIDENTE PRUDENTE,IEPE,"RUA JOSÉ SIMÕES FILHO, 81",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(18) 3264-1441,-22.65974466951658,-51.079010029450146,1
PRONTO ATENDIMENTO IGARACU DO TIETE,GVE 15 BAURU,IGUARACU DO TIETE,"RUA MARIA DO CARMO NICOLETTE ORTEGA, 168 ",0,,1434383237,-22.521378708291873,-48.56295569082795,1
SANTA CASA DE MISERICÓRDIA - IGARAPAVA,GVE 18 FRANCA,IGARAPAVA,"R. CEL. FRANCISCO MARTINS, 769",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(16) 3172-1611,-20.035409367905615,-47.750028521587716,1
UNIDADE MISTA,GVE 23 REGISTRO,IGUAPE,"RUA DOS ESTUDANTES, 40 - CENTRO",1,"BOTRÓPICO, ESCORPIÔNICO E ARACNÍDICO.",(13) 3841-3366,-24.711074389874696,-47.55932699075723,1
PRONTO ATENDIMENTO VALDIR M SAMPAIO,GVE 23 REGISTRO,ILHA COMPRIDA,"RUA BOM JESUS DE IGUAPE, S/N - SAMBURA",1,"BOTRÓPICO, ESCORPIÔNICO E ARACNÍDICO.",(13) 3842-1629,-24.735961873595,-47.55089342631662,1
ASSOCIAÇÃO HOSPITALAR DE ILHA SOLTEIRA,GVE 11 ARACATUBA,ILHA SOLTEIRA,"ALAMEDA BAHIA, 618",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(18) 3743-1500,-20.431730277583707,-51.33949572157658,1
HOSP. MUNICIPAL GOV. MARIO COVAS,GVE 28 CARAGUATATUBA,ILHABELA,"R PROF. MALAQUIAS DE OLIVEIRA FREITAS, 154",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(12) 3895-3520,-23.77585091961652,-45.36713625073888,1
HOSP. AUGUSTO DE OLIVEIRA CAMARGO,GVE 17 CAMPINAS,INDAIATUBA,"AV. FRANCISCO DE PAULA LEITE, 399",1,ESCORPIÔNICO E ARACNÍDICO.,(19) 3801-8200 R. 8347,-23.09256676521804,-47.21391564663101,1
UNIDADE BASICA DE SAUDE II DE INDIANA,GVE 21 PRESIDENTE PRUDENTE,INDIANA,"AVN ALZIRA SANTANA LEBRAO, S/N",0,,1839951476,-22.053114144052792,-51.2953490598688,0
CASA DE SAUDE DE INDIAPORA,GVE 30 JALES,INDIAPORA,"R. Coleta Macedo de Oliveira, 1000 - Centro, Indiaporã - SP, 15690-000",0,,(17) 3842-1101,-19.979154365717076, -50.28510880439469,0
UNIDADE BASICA DE SAUDE ARMANDO CENEDESI,GVE 19 MARILIA,INUBIA PAULISTA,"R. Antonio Facco, 665 - Centro, Inúbia Paulista - SP, 17760-000",0,,1835561233,-21.769786488495427,-50.96059137735842,0
SANTA CASA DE IPAUCU,GVE 13 ASSIS,IPAUSSU,"Av. Rui Barbosa, 451 - Centro, Ipaussu - SP, 18950-000",0,,(14) 344-1112,-23.052006536571596,-49.62402563128875,1
HOSPITAL PEDRO TREBBI DE CASTRO,GVE 31 SOROCABA,IPERO,"Av. Paulo Antunes Moreira, 1800 - Jardim Santa Cruz, Iperó - SP, 18560-000",0,,1532661100,-23.35781780868547,-47.702903555915015,1
UNIDADE BASICA DE SAUDE DE IPEUNA,GVE 20 PIRACICABA,IPEUNA,"R. Araripe Custódio da Fonseca, 1100, Ipeúna - SP, 13537-000",0,,1935379230,-22.431767200537628,-47.70591268156354,1
UBS LUIS FACHIN IPIGUA,GVE 29 SAO JOSE DO RIO PRETO,IPIGUA,"Rua Geraldina Dutra Salvador, 700 - Conjunto Habitacional Divino Sebastião Moreira, Ipiguá - SP, 15108-180",0,,1732699003,-20.65389175260276,-49.383943217868335,1
PRONTO ATENDIMENTO LAURO TAVARES DE LIMA,GVE 23 REGISTRO,IPORANGA,"RUA 12 DE JANEIRO, 17 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(15) 3556-1584,-24.58575682550308,-48.59505272635653,1
SANTA CASA DE MISERICÓRDIA,GVE 18 FRANCA,IPUA,"R. FERDINANDO FRATIN, 335",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(16) 3832-1222,-20.43670307086636,-48.011541619725456,1
PRONTO SOCORRO SANTA CRUZ DE IRACEMAPOLIS,GVE 20 PIRACICABA,IRACEMAPOLIS,"Rua Alcides Oliveira Frasson, 400 - Jardim Antonio Joaquim Fagundes, Iracemápolis - SP, 13495-000",0,,1934561205,-22.587446509044376,-47.50961846384102,1
UNIDADE BASICA DE SAUDE MARIO EVARISTO TADEI,GVE 29 SAO JOSE DO RIO PRETO,IRAPUA,"R. Afonso Pena, 450 - Centro, Irapuã - SP, 14990-000",0,,,-21.28339077091753,-49.40992421970112,1
CENTRO DE SAUDE,GVE 22 PRESIDENTE VENCESLAU,IRAPURU,"R. São Paulo, 165-291 - Centro, Irapuru - SP, 17880-000",0,,1838612220,-21.566518718797052,-51.34893432238529,0
HOSPITAL MUNICIPAL,GVE 32 ITAPEVA,ITABERA,"R. VINTE E TRÊS DE MAIO, 385 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO, ARACNÍDICO.",(15) 3562-1336 E (15) 99766-0948,-23.86426505852251,-49.13764560427782,1
IRMANDADE DA SANTA CASA DE MISERICORDIA DE ITAI,GVE 16 BOTUCATU,ITAI,"SP-255, km 363 - Jardim Monte Alto, Itaí - SP, 18730-000",0,,(14) 3761-1565,-23.419976839519837,-49.09902630429224,1
IRMANDADE DE MISERICORDIA HOSPITAL SAO JOSE ITAJOBI,GVE 29 SAO JOSE DO RIO PRETO,ITAJOBI,"R. Rio Branco, 251 - Itajobi, SP, 15840-000",0,,(17) 3546-1913,-21.318201180776935,-49.055892617849196,1
CENTRO DE SAUDE III FLORENCIO CAMARGO GUIMARAES ITAJU,GVE 15 BAURU,ITAJU,"AV JOAO ZAMBONE ASPARETTO, 261",0,,1436671238,-21.98241690804585,-48.804571877352004,0
UPA ITANHAÉM,GVE 25 SANTOS,ITANHAEM,"R. JOSÉ ERNESTO BECHELLI, S/N. JD. SABAÚNA",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(13) 3427-1111,-24.18208962204744,-46.816498154346704,1
UNIDADE BASICA DE SAUDE DA FAMILIA ITAOCA,GVE 32 ITAPEVA,ITAOCA,"Av. Domingos Péres Domingues, 734 - Jardim Cel., Itanhaém - SP, 11740-000",0,,-,-24.1573768364661,-46.84008087728317,0
PRONTO SOCORRO CENTRAL,GVE 10 OSASCO,ITAPECERICA DA SERRA,"R. CARLOS EDUARDO D. TAUTICO, Nº 77",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(11) 4668-6803,-23.710661936963795,-46.84917389264123,1
HOSPITAL REGIONAL DE ITAPETININGA,GVE 31 SOROCABA,ITAPETININGA,"R. PADRE ALBUQUERQUE , 245 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(15) 3275-7800,-23.58434229470613,-48.04512497545099,1
SANTA CASA DE MISERICÓRDIA DE ITAPEVA,GVE 32 ITAPEVA,ITAPEVA,"RUA SANTOS DUMONT, Nº 433 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(15) 3521-9500 E (15) 99763-8307,-23.988155048045197,-48.87698694660206,1
HOSPITAL GERAL DE ITAPEVI,GVE 10 OSASCO,ITAPEVI,"RUA JESUINO JOAQUIM DA SILVA, S/N – JD. NOVA ITAPEVI",1,ESCORPIÔNICO,(11) 4143-8600,-23.537698625643873,-46.94266327545237,1
HOSPITAL MUNICIPAL DE ITAPIRA,GVE 26 SAO JOAO DA BOA VISTA,ITAPIRA,"R. REVERENDO ALFREDO GUIMARÃES, 111",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ESCORPIÔNICO, ARACNÍDICO E LONÔMICO.",(19) 3913-9393,-22.4316316240121,-46.826803831308176,1
UNIDADE BÁSICA DE SAÚDE DA FAMÍLIA,GVE 32 ITAPEVA,ITAPIRAPUA PAULISTA,RUA JANUÁRIO DE ALMEIDA 51,1,ESCORPIÔNICO E ARACNÍDICO.,(15) 3548-1310,-24.57213930516395,-49.17005356377689,0
SANTA CASA DE MISERICÓRDIA DE ITÁPOLIS,GVE 12 ARARAQUARA,ITÁPOLIS,"RUA ANTONIO COMPAGNO, 411, CENTRO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO",(16) 3263-9500,-21.5940687379618,-48.80493930461654,1
HOSPITAL E MATERNIDADE NOSSA SENHORA DAS GRACAS,GVE 16 BOTUCATU,ITAPORANGA,"Av. Santa Cruz, 184 - Centro, Itaporanga - SP, 18480-000",0,,(15) 3565-9530,-23.70764747432824,-49.48946617729788,1
HOSPITAL SAO JOSE,GVE 15 BAURU,ITAPUI,"Av. Paes De Barros, 286 - Centro, Itapuí - SP, 17230-000",0,,(14) 3664-3229,-22.235037690239544,-48.72199040432929,1
UBS II DE ITAPURA,GVE 11 ARACATUBA,ITAPURA,"Av. Mal. Artur Costa e Silva, 1120, Itapura - SP, 15390-000",0,,1837451227,-20.64221752034783,-51.50880706204805,0
HOSPITAL GERAL DE ITAQUAQUECETUBA,GVE 8 MOGI DAS CRUZES,ITAQUAQUECETUBA,"R. Rio Negro, 48 - Jardim Nova Itaqua, Itaquaquecetuba - SP, 08599-280",0,,(11) 4645-4200,-23.47203752908505,-46.34546006196213,1
SANTA CASA DE MISERICÓRDIA - ITARARÉ,GVE 32 ITAPEVA,ITARARE,"RUA SÃO PEDRO, Nº 30 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(15) 3532-3783 E (15) 99713-4686,-24.116151308777624,-49.3456586338845,1
PRONTO SOCORRO DRº TAMINATO TION,GVE 23 REGISTRO,ITARIRI,"RUA BENEDITO CALIXTO, 260 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(13) 3418-8000,-24.29216943209538, -47.175272493158104,1
SANTA CASA DE MISERICÓRDIA DE ITATIBA,GVE 17 CAMPINAS,ITATIBA,"AV. DA SAUDADE, 43",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(11) 4594-8899,-23.00718036931153,-46.83326790800707,1
HOSPITAL SANTA TEREZINHA E MATERNIDADE ERCILIA PIERONI,GVE 16 BOTUCATU,ITATINGA,"PRACA SAO ROQUE, 48 - Centro, Itatinga - SP, 18690-000",0,,(14) 3848-1325,-23.10243148424709,-48.61271644848151,1
HOSPITAL SÃO JOSÉ,GVE 20 PIRACICABA,ITIRAPINA,"AV. NOVE, 709, VILA CIANELI",1,ESCORPIÔNICO,(19) 3575-9200,-22.249624309873226,-47.822355002477906,1
CS III,GVE 18 FRANCA,ITIRAPUA,"RUA SAO SEBASTIAO,4700",0,,1631461213,-20.638447752949048,-47.22140453506319,0
UNIDADE DE SAUDE DE ITOBI ALCIBIADES PIRES,GVE 26 SAO JOAO DA BOA VISTA,ITOBI,"R. Inácio Rodrigues Dâmaso - Itobilândia, Itobi - SP, 13715-000",0,,1936476010,-21.73363156267244,-46.97442010434453,0
HOSPITAL SANTA CASA - ITU,GVE 31 SOROCABA,ITU,"RUA JOAQUIM BERBARDES BORGES, 372",1,"BOTRÓPICO, CROTÁLICO E ESCORPIÔNICO.",(11) 4013-8000,-23.270294114004294,-47.29532459080441,1
HOSPITAL NOSSA SENHORA APARECIDA,GVE 17 CAMPINAS,ITUPEVA,"Praça São Venâncio, 2 - Da Lagoa, Itupeva - SP, 13295-000",0,,(11) 4591-1220,-23.174282934946813,-47.05232355430004,1
SANTA CASA DE MISERICÓRDIA - ITUVERAVA,GVE 18 FRANCA,ITUVERAVA,"R. CAP. ANTONIO JUSTINO FALEIRO, 729",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(16) 3839-1200,-20.33649719906789, -47.788317350415035,1
HOSPITAL MUNICIPAL DR AMADEU PAGLIUSO,GVE 14 BARRETOS,JABORANDI,"R. Dr. Amadeu Pagliuso, 480, Jaborandi - SP, 14775-000",0,,(17) 3347-1286,-20.68935727933144,-48.41649489088252,1
HOSPITAL E MATERNIDADE SANTA ISABEL DE JABOTICABAL,GVE 24 RIBEIRAO PRETO,JOABOTICABAL,"R. Floriano Peixoto, 1387 - Centro, Jaboticabal - SP, 14870-810",0,,(16) 3209-2333,-21.2555622999175,-48.3262479062095,1
UPA III DR THELMO DE ALMEIDA CRUZ - JACAREÍ,GVE 27 SAO JOSE DOS CAMPOS,JACAREI,"AV. ENGENHEIRO DAVID MONTEIRO LINO, 577 - CENTRO",1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ARACNÍDICO E ESCORPIÔNICO.",(12) 3959-2270,-23.296115812706105,-45.963486104296145,1
HOSPITAL NOSSA SENHORA DA DIVINA PROVIDENCIA,GVE 29 SAO JOSE DO RIO PRETO,JACI,"R. Maria Joana do Amaral Mendonça, 950, Jaci - SP, 15155-000",0,,(17) 3283-1222,-20.882758667776184,-49.573469208071344,1
PRONTO ATENDIMENTO,GVE 23 REGISTRO,JACUPIRANGA,"RUA EUNICE CARNEIRO DE PAULA, 101 - CENTRO",1,"BOTRÓPICO, ESCORPIÔNICO E ARACNÍDICO.",(13) 3864-3440,-24.696663328265508,-48.00379820425019,1
HOSPITAL MUNICIPAL WALTER FERRARI,GVE 17 CAMPINAS,JAGUARIUNA,"R. Amazonas, s/n - Centro, Jaguariúna - SP, 13820-000",0,,(19) 3867-1122,-22.702422227848647,-46.995450792673296,1
UNIDADE DE PRONTO ATENDIMENTO (UPA) - JALES,GVE 30 JALES,JALES,RUA SEBASTIÃO MARTINS N 2373,1,"BOTRÓPICO, CROTÁLICO, ELAPÍDICO, ARACNÍDICO E ESCORPIÔNICO.",(17) 3632-8747,-20.26667594119878,-50.54324963322277,1
UBS DE JAMBEIRO JOCELINA MEIRELES,GVE 27 SAO JOSE DOS CAMPOS,JAMBEIRO,"R. Antonio de Castro-Leite, 38 - Centro, Jambeiro - SP, 12270-000",0,,1239781651,-23.255777557269713,-45.69186021539047,1
PRONTO ATENDIMENTO MUNICIPAL DE JANDIRA PAM JANDIRA,GVE 10 OSASCO,JANDIRA,"Av. Alberto Ruffolo, 312 - Vila Anita Costa, Jandira - SP, 06600-170",0,,1147071954,-23.53616248064429,-46.9009671464013,1
HOSPITAL SANTA CASA DE JARDINOPOLIS,GVE 24 RIBEIRAO PRETO,JARDINOPOLIS,"R. Antônio Elias Said, 100 - Vila das Mangueiras, Jardinópolis - SP, 14680-000",0,,-,-21.025460407506333,-47.78071323879101,1
HOSPITAL ISRAELITA ST JAMES DE JARINU,GVE 17 CAMPINAS,JARINU,"Av. José Manara, 450 - Centro, Jarinu - SP, 13240-000",0,,(11) 3336-6600,-23.110447736366282,-46.72948129080976,1
SANTA CASA DE MISERICÓRDIA,GVE 15 BAURU,JAU,"RUA RIACHUELO, Nº 1073",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(14) 3622-4040,-22.291570728466002,-48.5621210043276,1
CS III JERIQUARA,GVE 18 FRANCA,JERIQUARA,"Prc São Sebastião, 100, Jeriquara - SP, 14450-000",0,,1631341334,-20.339810354632796,-47.5878875906461,0
SANTA CASA DE MISERICORDIA DE JOANOPOLIS,GVE 17 CAMPINAS,JOANOPOLIS,"Rua Francisco Wohlers, 57, Joanópolis - SP, 12980-000",0,,(11) 4539-9333,-22.93021556365997,-46.272782773620946,1
UBS I,GVE 21 PRESIDENTE PRUDENTE,JOAO RAMALHO,"R. Paulo Azevedo, 80 - Centro, João Ramalho - SP, 19680-000",0,,1839981106,-22.016132394615084,-50.64656338949095,0
SANTA CASA DE MISERICÓRDIA,GVE 29 SAO JOSE DO RIO PRETO,JOSE BONIFACIO,"RUA XV DE NOVEMBRO S/N, BELA VISTA",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(17) 3265-9022,-21.055436568151894,-49.6938054062153,1
USF ANTONIO SOARES,GVE 19 MARILIA,JULIO MESQUITA,"R. Jorge Moraes Barros, 459, Júlio Mesquita - SP, 17550-000",0,,1434879099,-22.011378784311056,-49.78983680618718,0
CS BRAZILIANO POGGI JUMIRIM,GVE 31 SOROCABA,JUMIRIM,"R. Bazzo, 176, Jumirim - SP, 18535-000",0,,1531999816,-23.083384122233728,-47.79350580615384,0
HOSPITAL UNIVERSITÁRIO (0 A 18 ANOS),GVE 17 CAMPINAS,JUNDIAÍ,"PRAÇA ROTATÓRIA, S/N",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(11) 4527-5700,-23.205031474663706,-46.89211867546323,1
HOSPITAL SÃO VICENTE DE PAULA (ADULTOS),GVE 17 CAMPINAS,JUNDIAÍ,"RUA SÃO VICENTE DE PAULA, 223",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(11) 4583-8155,-23.183723217976425,-46.88982626012049,1
SANTA CASA DE MISERICÓRDIA,GVE 22 PRESIDENTE VENCESLAU,JUNQUEIROPOLIS,"RUA PORTO ALEGRE, 1221",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(18) 3841-9420,-21.514846254832964,-51.4388275583207,1
PRONTO SOCORRO DRº MANOEL PEREZ BAZAN,GVE 23 REGISTRO,JUQUIA,"AV. EXPEDICIONÁRIO APARÍCIO, S/Nº - ESTAÇÃO",1,"BOTRÓPICO, ESCORPIÔNICO E ARACNÍDICO.",(13) 3844-3450,-24.323556913596004,-47.62921015029286,1
UNIDADE MISTA DE SAÚDE - JUQUITIBA,GVE 10 OSASCO,JUQUITIBA,"RUA JOSÉ ANTONIO NUNES, Nº 90",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO, ESCORPIÔNICO E LONÔMICO.",(11) 4681-4226,-23.932988351168017,-47.0698547619472,1
CENTRO DE SAÚDE III,GVE 33 TAUBATE,LAGOINHA,"R: ANTONIO DA CUNHA BUENO, 25, CEP:12130-000",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(12) 3647-1238 R 29,-23.08948674654625,-45.19172919015274,1
SANTA CASA DE LARANJAL PAULISTA,GVE 16 BOTUCATU,LARANJAL PAULISTA,"RUA GOVERNADOR PEDRO DE TOLEDO, 633, CENTRO",1,ESCORPIÔNICO,(15) 3383-9191,-23.055320753920217,-47.83273960430375,1
UBSF ARLINDO VIDAL LEME LAVINIA,GVE 11 ARACATUBA,LAVINIA,"RUA HINTZ BRANDAO, 82",0,,1836981284,-21.165071342730815,-51.04144288901775,0
USF LAVRINHAS,GVE 33 TAUBATE,LAVRINHAS,"R. Manoel Machado, 303 - Lavrinhas, SP, 12760-000",0,,1231461144,-22.56843164814543,-44.905425704319036,0
SANTA CASA DE MISERICÓRDIA,GVE 20 PIRACICABA,LEME,"RUA: PE. JULIÃO, 1213",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(19) 3573-6500,-22.189680089672127,-47.3921373601514,1
UPA DE LENÇÓIS PAULISTA,GVE 15 BAURU,LENÇÓIS PAULISTA,"RUA SETE DE SETEMBRO, Nº 600",1,ESCORPIÔNICO,(14) 3269-1300,-22.599781219684186, -48.79590211966148,1
SANTA CASA DE MISERICÓRDIA,GVE 20 PIRACICABA,LIMEIRA,"AV. ANTONIO OMETTO, 675, VILA CLAUDIA",1,"BOTRÓPICO, CROTÁLICO, ARACNÍDICO E ESCORPIÔNICO.",(19) 3446-6100,-22.579415676339515,-47.39993599691496,1
CENTRO DE SAUDE III DE LINDOIA,GVE 17 CAMPINAS,LINDOIA,"RUA APARECIDO ZAMBOIM,20",0,,1938983553,-22.520237901542878,-46.64709993500721,0
IRM. STA CASA DE MIS. DE LINS,GVE 15 BAURU,LINS,"RUA PEDRO DE TOLEDO, 486",1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO, LAQUÉTICO E ARACNÍDICO",(14) 3533-2500,-21.671735595982074,-49.756541145125446,1
PRONTO SOCORRO MUNICIPAL,GVE 33 TAUBATE,LORENA,R. DOM BOSCO 562 CENTRO - CEP 12.600-100,1,"BOTRÓPICO, CROTÁLICO, ESCORPIÔNICO E ARACNÍDICO.",(12) 3159-3344,-22.73214685939367,-45.12012345744734,1
UNIDADE BASICA DE SAUDE LAZARO QUIRINO DA SILVA,GVE 11 ARACATUBA,LOURDES,"R. Francisco da Silva, 190, Lourdes - SP, 15285-000",0,,-,-20.96378362694481,-50.225045328674966,0
HOSPITAL SANTO ANTONIO DE LOUVEIRA,GVE 17 CAMPINAS,LOUVEIRA,"R. Luís M Cruz, 63 - Santo Antônio, Louveira - SP, 13294-334",0,,(19) 3948-5300,"-23.08894487280639,",-46.97687681331859,1
SANTA CASA DE LUCELIA,GVE 19 MARILIA,LUCELIA,"R. Manoel Lopes, 410 - Centro, Lucélia - SP, 17780-000",0,,(18) 3551-9050,-21.72788360168806,-51.009344901693,1
UBS LAURO BORGES,GVE 15 BAURU,LUCIANOPOLIS,"Rua Irenio Zaninoto - Nucleo Belmiro Jorge, Lucianópolis - SP, 17475-262",0,,(14) 3286-1190,-22.429138553365977,-49.51340677453455,0
